Date,ma_005,ma_010,ma_020,ma_060,ma_120,ma_240
2022-12-09,56620.0,56480.0,56860.0,54930.0,64178.333333333336,78813.33333333333
2022-12-12,56640.0,56830.0,56840.0,54775.0,64082.5,78578.33333333333
2022-12-13,57080.0,57060.0,56815.0,54630.0,63980.0,78343.75
2022-12-14,57720.0,57290.0,56820.0,54518.333333333336,63898.333333333336,78117.5
2022-12-15,57680.0,57030.0,56630.0,54351.666666666664,63800.0,77870.83333333333
2022-12-16,56940.0,56780.0,56465.0,54191.666666666664,63657.5,77626.66666666667
2022-12-19,56480.0,56560.0,56440.0,54100.0,63524.166666666664,77386.25
2022-12-20,55700.0,56390.0,56440.0,53988.333333333336,63380.0,77137.5
2022-12-21,54800.0,56260.0,56365.0,53896.666666666664,63241.666666666664,76894.58333333333
2022-12-22,54760.0,56220.0,56250.0,53826.666666666664,63118.333333333336,76647.08333333333
2022-12-23,54560.0,55750.0,56115.0,53768.333333333336,63002.5,76405.0
2022-12-26,54120.0,55300.0,56065.0,53730.0,62881.666666666664,76188.75
2022-12-27,54140.0,54920.0,55990.0,53685.0,62735.0,75998.75
2022-12-28,54020.0,54410.0,55850.0,53646.666666666664,62569.166666666664,75805.41666666667
2022-12-29,53620.0,54190.0,55610.0,53623.333333333336,62403.333333333336,75624.16666666667
2023-01-02,53480.0,54020.0,55400.0,53588.333333333336,62244.166666666664,75447.91666666667
2023-01-03,53420.0,53770.0,55165.0,53628.333333333336,62094.166666666664,75265.0
2023-01-04,53680.0,53910.0,55150.0,53721.666666666664,61972.5,75094.16666666667
2023-01-05,54500.0,54260.0,55260.0,53852.5,61854.166666666664,74943.33333333333
2023-01-06,55320.0,54470.0,55345.0,54017.5,61730.0,74794.58333333333
2023-01-09,57000.0,55240.0,55495.0,54179.166666666664,61655.0,74665.83333333333
2023-01-10,58480.0,55950.0,55625.0,54385.0,61554.166666666664,74542.08333333333
2023-01-11,59720.0,56700.0,55810.0,54593.333333333336,61463.333333333336,74415.41666666667
2023-01-12,60480.0,57490.0,55950.0,54788.333333333336,61364.166666666664,74289.16666666667
2023-01-13,61440.0,58380.0,56285.0,55025.833333333336,61266.666666666664,74172.5
2023-01-16,62120.0,59560.0,56790.0,55286.666666666664,61203.333333333336,74076.25
2023-01-17,62340.0,60410.0,57090.0,55509.166666666664,61110.0,73971.66666666667
2023-01-18,62280.0,61000.0,57455.0,55722.5,61020.0,73884.16666666667
2023-01-19,62140.0,61310.0,57785.0,55940.833333333336,60927.5,73783.33333333333
2023-01-20,61980.0,61710.0,58090.0,56148.333333333336,60834.166666666664,73683.75
2023-01-25,61600.0,61860.0,58550.0,56379.166666666664,60732.5,73581.66666666667
2023-01-26,61980.0,62160.0,59055.0,56595.833333333336,60646.666666666664,73480.41666666667
2023-01-27,62600.0,62440.0,59570.0,56829.166666666664,60587.5,73389.58333333333
2023-01-30,63140.0,62640.0,60065.0,57015.833333333336,60483.333333333336,73295.41666666667
2023-01-31,63180.0,62580.0,60480.0,57204.166666666664,60314.166666666664,73187.5
2023-02-01,63100.0,62350.0,60955.0,57402.5,60155.833333333336,73064.58333333333
2023-02-02,63260.0,62620.0,61515.0,57646.666666666664,60010.0,72963.33333333333
2023-02-03,63760.0,63180.0,62090.0,57908.333333333336,59876.666666666664,72875.41666666667
2023-02-06,64100.0,63620.0,62465.0,58126.666666666664,59750.833333333336,72764.16666666667
2023-02-07,65420.0,64300.0,63005.0,58413.333333333336,59620.0,72670.0
2023-02-08,66800.0,64950.0,63405.0,58586.666666666664,59508.333333333336,72577.08333333333
2023-02-09,68080.0,65670.0,63915.0,58793.333333333336,59426.666666666664,72484.16666666667
2023-02-10,68160.0,65960.0,64200.0,58941.666666666664,59322.5,72383.33333333333
2023-02-13,67980.0,66040.0,64340.0,59036.666666666664,59198.333333333336,72265.41666666667
2023-02-14,67380.0,66400.0,64490.0,59135.0,59100.833333333336,72161.25
2023-02-15,66280.0,66540.0,64445.0,59233.333333333336,59005.833333333336,72032.91666666667
2023-02-16,64940.0,66510.0,64565.0,59365.0,58917.5,71908.33333333333
2023-02-17,64080.0,66120.0,64650.0,59515.0,58820.833333333336,71775.0
2023-02-20,64060.0,66020.0,64820.0,59656.666666666664,58721.666666666664,71640.0
2023-02-21,63680.0,65530.0,64915.0,59751.666666666664,58614.166666666664,71508.33333333333
2023-02-22,63400.0,64840.0,64895.0,59853.333333333336,58530.833333333336,71385.83333333333
2023-02-23,63060.0,64000.0,64835.0,59985.0,58441.666666666664,71262.5
2023-02-24,62760.0,63420.0,64690.0,60083.333333333336,58345.0,71103.33333333333
